Step;Time(s);MeanReward;StdReward
60000;39,867;-0,387;0,713
120000;77,479;-0,429;0,749
180000;117,743;-0,697;0,882
240000;154,922;-0,655;0,930
300000;194,566;-0,472;0,685
360000;232,175;-0,539;0,628
420000;272,523;-0,428;0,996
480000;309,534;-0,331;0,645
540000;346,665;-0,176;0,527
600000;386,342;-0,188;0,486
660000;423,207;0,039;0,368
720000;463,582;-0,154;0,616
780000;500,489;-0,130;0,809
840000;540,835;-0,111;0,676
900000;577,231;0,264;0,207
960000;617,959;0,164;0,348
1020000;654,238;0,292;0,268
1080000;690,884;0,233;0,337
1140000;730,377;0,215;0,371
1200000;766,453;0,206;0,279
1260000;805,846;0,273;0,290
1320000;845,010;0,314;0,414
1380000;880,782;0,386;0,330
1440000;920,034;0,260;0,618
1500000;955,604;0,403;0,364
1560000;994,748;0,415;0,331
1620000;1033,890;0,475;0,163
1680000;1069,799;0,369;0,239
1740000;1109,206;0,385;0,350
1800000;1148,324;0,299;0,309
1860000;1184,471;0,300;0,349
1920000;1223,738;0,180;0,478
1980000;1263,051;0,266;0,449
2040000;1298,731;0,310;0,449
2100000;1337,632;0,385;0,297
2160000;1373,530;0,175;0,460
2220000;1412,566;0,139;0,612
2280000;1452,075;0,219;0,575
2340000;1488,103;0,438;0,202
2400000;1527,003;0,357;0,264
2460000;1565,900;0,375;0,354
2520000;1601,780;0,418;0,293
2580000;1640,801;0,392;0,290
2640000;1680,594;0,335;0,357
2700000;1716,900;0,385;0,284
2760000;1756,596;0,401;0,323
2820000;1796,291;0,339;0,415
2880000;1832,702;0,393;0,351
2940000;1872,165;0,481;0,183
3000000;1911,994;0,455;0,354
3060000;1948,128;0,533;0,174
3120000;1987,823;0,536;0,193
3180000;2023,990;0,419;0,322
3240000;2063,334;0,480;0,266
3300000;2102,892;0,526;0,231
3360000;2139,282;0,424;0,411
3420000;2178,810;0,417;0,346
3480000;2218,251;0,419;0,250
3540000;2254,596;0,453;0,275
3600000;2293,834;0,417;0,300
3660000;2333,091;0,516;0,177
3720000;2369,334;0,412;0,280
3780000;2408,710;0,515;0,232
3840000;2448,759;0,421;0,334
3900000;2484,865;0,368;0,361
3960000;2524,661;0,414;0,274
4020000;2564,799;0,456;0,242
4080000;2600,580;0,453;0,214
4140000;2640,016;0,450;0,312
4200000;2676,422;0,447;0,265
4260000;2715,947;0,484;0,282
4320000;2755,369;0,444;0,222
4380000;2791,890;0,441;0,240
4440000;2831,273;0,440;0,289
4500000;2870,283;0,478;0,268
4560000;2906,093;0,424;0,224
4620000;2945,197;0,497;0,175
4680000;2984,441;0,539;0,146
4740000;3020,504;0,392;0,237
4800000;3054,371;0,516;0,181
4860000;3094,901;0,439;0,258
4920000;3130,618;0,405;0,256
4980000;3169,392;0,479;0,255
5040000;3208,725;0,472;0,255
5100000;3244,288;0,532;0,206
5160000;3283,643;0,433;0,288
5220000;3319,891;0,477;0,312
5280000;3359,351;0,450;0,174
5340000;3398,605;0,407;0,257
5400000;3434,645;0,437;0,286
5460000;3473,803;0,500;0,163
5520000;3512,947;0,483;0,191
5580000;3548,944;0,523;0,143
5640000;3587,946;0,401;0,468
5700000;3626,734;0,519;0,176
5760000;3662,639;0,508;0,192
5820000;3701,665;0,478;0,238
5880000;3740,791;0,489;0,238
5940000;3776,701;0,482;0,171
6000000;3815,778;0,505;0,232
