Step;Time(s);MeanReward;StdReward
9400000;3429,055;0,453;0,306
9450000;3447,250;0,470;0,297
9500000;3465,483;0,425;0,276
9550000;3483,467;0,446;0,345
9600000;3501,713;0,454;0,312
9650000;3519,909;0,445;0,305
9700000;3539,942;0,432;0,331
9750000;3557,965;0,444;0,326
9800000;3576,018;0,442;0,316
9850000;3594,136;0,488;0,298
9900000;3612,219;0,463;0,327
9950000;3630,451;0,447;0,343
10000000;3648,538;0,459;0,300
