Step;Time(s);MeanReward;StdReward
50000;19,211;-2,197;1,316
100000;38,637;-2,161;1,237
150000;56,609;-1,816;1,509
200000;74,531;-1,984;1,323
250000;92,341;-1,690;1,468
300000;110,155;-1,446;1,397
350000;128,098;-1,372;1,453
400000;146,310;-1,089;1,284
450000;164,765;-0,866;1,260
500000;183,034;-0,846;1,296
550000;201,120;-0,650;1,128
600000;219,310;-0,589;1,141
650000;237,423;-0,507;0,976
700000;255,874;-0,341;0,910
750000;274,244;-0,289;0,866
800000;292,407;-0,544;1,115
850000;310,793;-0,219;0,896
900000;329,068;-0,136;0,754
950000;346,743;-0,061;0,618
1000000;365,219;0,007;0,662
1050000;383,732;-0,143;0,675
1100000;401,984;0,052;0,652
1150000;419,767;-0,014;0,662
1200000;437,534;0,053;0,582
1250000;455,127;0,097;0,598
1300000;473,135;0,083;0,713
1350000;493,512;0,091;0,685
1400000;511,371;0,157;0,521
1450000;529,483;0,258;0,417
1500000;547,584;0,213;0,509
1550000;565,711;0,240;0,414
1600000;583,859;0,322;0,369
1650000;601,742;0,285;0,390
1700000;620,177;0,285;0,472
1750000;638,652;0,334;0,367
1800000;656,853;0,321;0,491
1850000;675,151;0,313;0,418
1900000;693,377;0,329;0,424
1950000;711,993;0,346;0,424
2000000;730,535;0,372;0,422
2050000;748,502;0,417;0,361
2100000;766,414;0,367;0,349
2150000;783,971;0,364;0,340
2200000;801,788;0,414;0,302
2250000;819,409;0,416;0,328
2300000;836,988;0,386;0,359
2350000;854,578;0,390;0,378
2400000;872,408;0,446;0,311
2450000;890,045;0,398;0,337
2500000;907,609;0,388;0,319
2550000;927,044;0,382;0,428
2600000;944,564;0,424;0,389
2650000;962,174;0,424;0,330
2700000;979,953;0,396;0,328
2750000;997,533;0,380;0,370
2800000;1015,169;0,441;0,299
2850000;1033,012;0,430;0,316
2900000;1050,694;0,443;0,318
2950000;1068,507;0,401;0,340
3000000;1086,290;0,421;0,350
3050000;1103,898;0,431;0,353
3100000;1121,493;0,441;0,339
3150000;1139,145;0,401;0,311
3200000;1156,794;0,433;0,324
3250000;1174,544;0,412;0,308
3300000;1192,169;0,436;0,331
3350000;1209,775;0,416;0,316
3400000;1227,304;0,456;0,340
3450000;1245,140;0,418;0,359
3500000;1262,869;0,471;0,323
3550000;1280,633;0,422;0,336
3600000;1298,210;0,408;0,352
3650000;1316,018;0,429;0,300
3700000;1333,957;0,437;0,339
3750000;1353,383;0,428;0,362
3800000;1370,938;0,433;0,325
3850000;1388,508;0,457;0,292
3900000;1406,146;0,459;0,302
3950000;1423,666;0,419;0,343
4000000;1441,396;0,447;0,299
4050000;1459,078;0,396;0,400
4100000;1476,583;0,433;0,310
4150000;1494,265;0,442;0,336
4200000;1511,877;0,410;0,338
4250000;1529,471;0,425;0,327
4300000;1547,001;0,417;0,383
4350000;1564,678;0,402;0,354
4400000;1582,216;0,437;0,338
4450000;1599,724;0,393;0,398
4500000;1617,353;0,404;0,335
4550000;1634,946;0,434;0,300
4600000;1652,498;0,430;0,313
4650000;1670,182;0,437;0,298
4700000;1687,744;0,433;0,355
4750000;1705,407;0,420;0,378
4800000;1722,787;0,447;0,326
4850000;1740,327;0,438;0,325
4900000;1757,764;0,434;0,315
4950000;1775,232;0,461;0,310
5000000;1794,511;0,419;0,326
5050000;1811,837;0,434;0,321
5100000;1829,450;0,436;0,347
5150000;1847,186;0,455;0,319
5200000;1864,875;0,459;0,337
5250000;1882,565;0,424;0,288
5300000;1900,188;0,417;0,319
5350000;1917,779;0,490;0,309
5400000;1935,323;0,447;0,298
5450000;1953,169;0,432;0,321
5500000;1970,783;0,479;0,287
5550000;1988,534;0,473;0,314
5600000;2006,271;0,449;0,313
5650000;2023,942;0,470;0,311
5700000;2041,598;0,472;0,292
5750000;2059,264;0,444;0,339
5800000;2076,956;0,437;0,352
5850000;2094,666;0,450;0,327
5900000;2112,237;0,455;0,307
5950000;2129,985;0,427;0,300
6000000;2147,621;0,448;0,319
6050000;2165,248;0,455;0,329
6100000;2182,839;0,451;0,297
6150000;2202,255;0,421;0,363
6200000;2219,852;0,421;0,346
6250000;2237,555;0,451;0,295
6300000;2255,153;0,455;0,361
6350000;2272,713;0,450;0,321
6400000;2290,317;0,419;0,291
6450000;2307,933;0,469;0,310
6500000;2325,634;0,443;0,303
6550000;2343,430;0,428;0,309
6600000;2361,052;0,461;0,313
6650000;2378,646;0,421;0,315
6700000;2396,214;0,446;0,342
6750000;2413,823;0,436;0,317
6800000;2431,697;0,444;0,292
6850000;2449,245;0,461;0,279
6900000;2466,975;0,424;0,370
6950000;2484,766;0,461;0,302
7000000;2502,442;0,450;0,304
7050000;2520,279;0,454;0,305
7100000;2537,860;0,430;0,330
7150000;2555,510;0,499;0,289
7200000;2573,199;0,456;0,305
7250000;2590,797;0,455;0,332
7300000;2610,242;0,442;0,336
7350000;2627,694;0,419;0,318
7400000;2645,090;0,441;0,344
7450000;2662,746;0,434;0,320
7500000;2680,311;0,459;0,310
7550000;2697,942;0,455;0,323
7600000;2715,722;0,453;0,319
7650000;2733,357;0,456;0,369
7700000;2750,867;0,454;0,319
7750000;2768,494;0,457;0,347
7800000;2786,081;0,462;0,318
7850000;2803,718;0,486;0,318
7900000;2821,526;0,429;0,282
7950000;2839,388;0,466;0,307
8000000;2857,094;0,464;0,321
8050000;2874,771;0,429;0,325
8100000;2892,509;0,474;0,300
8150000;2910,374;0,450;0,305
8200000;2928,069;0,479;0,324
8250000;2945,873;0,472;0,305
8300000;2963,603;0,446;0,307
8350000;2981,335;0,463;0,300
8400000;2998,988;0,463;0,341
8450000;3016,659;0,412;0,332
8500000;3034,326;0,436;0,309
8550000;3053,844;0,465;0,297
8600000;3071,361;0,461;0,312
8650000;3089,184;0,480;0,295
8700000;3106,797;0,453;0,320
8750000;3124,458;0,461;0,349
8800000;3142,175;0,461;0,337
8850000;3159,968;0,450;0,330
8900000;3177,729;0,482;0,308
8950000;3195,434;0,483;0,293
9000000;3213,213;0,455;0,315
9050000;3230,954;0,450;0,289
9100000;3248,721;0,496;0,301
9150000;3266,481;0,456;0,299
9200000;3284,253;0,484;0,305
9250000;3302,047;0,474;0,314
9300000;3319,864;0,468;0,309
9350000;3337,530;0,433;0,331
9400000;3355,283;0,477;0,334
9450000;3372,857;0,472;0,316
9500000;3390,867;0,479;0,302
9550000;3408,644;0,486;0,308
9600000;3426,526;0,470;0,327
9650000;3444,256;0,470;0,344
9700000;3462,012;0,439;0,320
9750000;3481,705;0,440;0,348
9800000;3499,376;0,460;0,303
9850000;3517,089;0,471;0,302
9900000;3534,780;0,481;0,353
9950000;3552,387;0,476;0,319
10000000;3570,150;0,446;0,311
