Step;Time(s);MeanReward;StdReward
60000;35,402;-0,445;0,506
120000;62,530;-0,837;0,769
180000;91,428;-0,799;1,380
240000;118,144;-1,196;1,252
300000;146,323;-0,455;0,524
360000;173,261;-0,447;0,458
420000;201,996;-0,287;0,388
480000;228,866;-0,189;0,435
540000;255,664;0,010;0,357
600000;284,026;0,018;0,341
660000;310,813;-0,168;0,819
720000;339,775;-0,065;0,409
780000;366,384;0,169;0,311
840000;395,055;0,225;0,218
900000;421,500;0,300;0,221
960000;450,008;0,345;0,244
1020000;476,810;0,368;0,327
1080000;504,983;0,368;0,226
1140000;531,240;0,341;0,278
1200000;559,159;0,353;0,474
1260000;587,182;0,330;0,205
1320000;613,194;0,287;0,325
1380000;641,085;0,177;0,419
1440000;667,287;0,328;0,306
1500000;695,317;0,301;0,354
1560000;723,184;0,281;0,312
1620000;749,419;0,289;0,363
1680000;777,403;0,384;0,300
1740000;805,840;0,322;0,490
1800000;831,637;0,361;0,283
1860000;859,633;0,373;0,385
1920000;885,378;0,356;0,282
1980000;913,494;0,392;0,143
2040000;954,043;0,313;0,313
2100000;990,931;0,339;0,311
2160000;1031,237;0,372;0,268
2220000;1068,013;0,453;0,234
2280000;1108,427;0,415;0,260
2340000;1148,968;0,445;0,175
2400000;1185,994;0,439;0,344
2460000;1226,744;0,367;0,269
2520000;1267,494;0,448;0,221
2580000;1304,359;0,354;0,322
2640000;1344,383;0,436;0,401
2700000;1384,595;0,384;0,252
2760000;1421,464;0,333;0,373
2820000;1461,783;0,426;0,181
2880000;1502,000;0,495;0,225
2940000;1538,694;0,413;0,253
3000000;1578,819;0,514;0,216
3060000;1619,227;0,374;0,419
3120000;1655,422;0,425;0,344
3180000;1695,679;0,471;0,223
3240000;1732,437;0,475;0,216
3300000;1772,514;0,400;0,352
3360000;1812,517;0,546;0,198
3420000;1849,109;0,473;0,325
3480000;1889,170;0,452;0,226
3540000;1929,347;0,482;0,178
3600000;1965,990;0,410;0,402
3660000;2006,139;0,473;0,233
3720000;2046,905;0,503;0,261
3780000;2083,838;0,469;0,214
3840000;2124,145;0,436;0,300
3900000;2164,267;0,474;0,241
3960000;2201,104;0,499;0,211
4020000;2241,232;0,453;0,226
4080000;2273,074;0,457;0,285
4140000;2298,659;0,456;0,263
4200000;2326,219;0,507;0,204
4260000;2351,866;0,487;0,171
4320000;2379,381;0,499;0,160
4380000;2407,118;0,487;0,196
4440000;2432,719;0,511;0,218
4500000;2460,277;0,477;0,176
4560000;2487,752;0,493;0,211
4620000;2513,414;0,493;0,225
4680000;2541,060;0,492;0,250
4740000;2568,832;0,460;0,265
4800000;2594,725;0,481;0,213
4860000;2622,570;0,484;0,230
4920000;2650,080;0,498;0,167
4980000;2675,819;0,551;0,174
5040000;2703,655;0,489;0,183
5100000;2731,212;0,441;0,550
5160000;2756,932;0,424;0,312
5220000;2784,726;0,470;0,187
5280000;2812,969;0,456;0,315
5340000;2838,315;0,549;0,241
5400000;2866,128;0,442;0,247
5460000;2891,982;0,505;0,190
5520000;2919,615;0,506;0,222
5580000;2947,336;0,556;0,205
5640000;2973,143;0,498;0,210
5700000;3000,734;0,549;0,173
5760000;3028,721;0,478;0,165
5820000;3055,030;0,475;0,192
5880000;3082,789;0,519;0,199
5940000;3110,517;0,502;0,150
6000000;3136,559;0,483;0,215
