Step;Time(s);MeanReward;StdReward
50000;32,971;-0,212;0,340
100000;67,291;-0,358;0,481
150000;101,307;-0,348;0,522
200000;134,808;-0,506;0,624
250000;168,710;-0,557;0,738
300000;202,375;-0,212;0,381
350000;236,397;-0,297;0,430
400000;270,092;-0,292;0,478
450000;300,425;0,000;0,240
500000;334,584;0,039;0,320
550000;368,314;0,118;0,345
600000;402,386;0,218;0,208
650000;437,325;0,167;0,524
700000;471,563;0,214;0,317
750000;506,122;0,133;0,390
800000;540,655;0,248;0,339
850000;574,200;0,238;0,645
900000;608,444;0,415;0,175
950000;642,345;0,285;0,353
1000000;676,176;0,241;0,352
1050000;710,085;0,254;0,332
1100000;743,423;0,294;0,273
1150000;777,431;0,400;0,136
1200000;811,178;0,376;0,319
1250000;844,418;0,357;0,470
1300000;877,079;0,457;0,151
1350000;909,934;0,429;0,285
1400000;942,390;0,289;0,450
1450000;975,026;0,456;0,231
1500000;1007,287;0,378;0,376
1550000;1039,805;0,428;0,332
1600000;1072,497;0,461;0,207
1650000;1104,905;0,361;0,359
1700000;1137,280;0,478;0,229
1750000;1169,701;0,415;0,342
1800000;1202,169;0,492;0,331
1850000;1234,480;0,448;0,215
1900000;1266,799;0,424;0,599
1950000;1299,294;0,409;0,270
2000000;1331,706;0,447;0,251
2050000;1364,430;0,545;0,180
2100000;1397,109;0,471;0,238
2150000;1429,569;0,552;0,203
2200000;1462,183;0,357;0,427
2250000;1494,306;0,407;0,361
2300000;1527,405;0,425;0,254
2350000;1559,963;0,375;0,413
2400000;1596,262;0,322;0,414
2450000;1628,936;0,498;0,219
2500000;1661,556;0,445;0,284
2550000;1694,072;0,491;0,200
2600000;1726,939;0,415;0,248
2650000;1759,502;0,505;0,252
2700000;1791,753;0,488;0,206
2750000;1822,514;0,526;0,239
2800000;1849,078;0,527;0,208
2850000;1881,327;0,591;0,214
2900000;1914,139;0,494;0,166
2950000;1947,085;0,447;0,329
3000000;1979,574;0,347;0,347
3050000;2013,256;0,537;0,190
3100000;2048,369;0,480;0,249
3150000;2081,491;0,503;0,256
3200000;2114,546;0,535;0,172
3250000;2147,925;0,533;0,207
3300000;2183,146;0,578;0,228
3350000;2218,300;0,490;0,353
3400000;2253,276;0,543;0,233
3450000;2289,725;0,497;0,201
3500000;2326,696;0,497;0,252
3550000;2363,733;0,514;0,226
3600000;2400,741;0,524;0,260
3650000;2437,465;0,513;0,195
3700000;2473,898;0,477;0,266
3750000;2510,047;0,580;0,176
3800000;2546,270;0,560;0,234
3850000;2582,351;0,516;0,254
3900000;2622,372;0,533;0,217
3950000;2658,277;0,439;0,260
4000000;2694,549;0,538;0,234
4050000;2730,814;0,502;0,258
4100000;2767,068;0,446;0,235
4150000;2802,862;0,521;0,241
4200000;2839,173;0,576;0,189
4250000;2875,246;0,546;0,226
4300000;2911,544;0,523;0,194
4350000;2948,055;0,541;0,249
4400000;2984,983;0,555;0,234
4450000;3022,831;0,508;0,204
4500000;3060,069;0,490;0,335
4550000;3097,418;0,413;0,294
4600000;3134,888;0,550;0,268
4650000;3171,559;0,459;0,328
4700000;3207,325;0,546;0,177
4750000;3239,934;0,459;0,455
4800000;3273,621;0,491;0,239
4850000;3306,687;0,527;0,219
4900000;3340,435;0,473;0,279
4950000;3373,098;0,457;0,253
5000000;3405,379;0,546;0,215
5050000;3437,513;0,498;0,232
5100000;3469,552;0,528;0,196
5150000;3502,493;0,525;0,174
5200000;3534,492;0,439;0,391
5250000;3566,588;0,529;0,147
5300000;3602,468;0,465;0,344
5350000;3634,375;0,525;0,197
5400000;3666,285;0,433;0,399
5450000;3698,389;0,514;0,245
5500000;3730,616;0,547;0,171
5550000;3762,701;0,533;0,224
5600000;3794,800;0,511;0,149
5650000;3826,931;0,517;0,228
5700000;3859,013;0,503;0,259
5750000;3891,111;0,447;0,303
5800000;3923,786;0,527;0,202
5850000;3956,470;0,439;0,239
5900000;3988,956;0,534;0,232
5950000;4021,342;0,480;0,224
6000000;4053,984;0,508;0,259
6050000;4086,427;0,475;0,268
6100000;4119,086;0,596;0,152
6150000;4151,800;0,485;0,296
6200000;4184,502;0,485;0,240
6250000;4216,835;0,577;0,251
6300000;4249,568;0,541;0,283
6350000;4282,260;0,552;0,181
6400000;4310,278;0,547;0,184
6450000;4332,566;0,427;0,299
6500000;4355,028;0,475;0,179
6550000;4377,083;0,493;0,266
6600000;4399,433;0,499;0,289
6650000;4421,635;0,476;0,503
6700000;4446,168;0,471;0,441
6750000;4468,427;0,515;0,292
6800000;4490,411;0,567;0,249
6850000;4512,599;0,562;0,226
6900000;4534,732;0,478;0,394
6950000;4556,762;0,534;0,304
7000000;4578,909;0,522;0,183
7050000;4600,987;0,507;0,200
7100000;4623,220;0,562;0,210
7150000;4645,461;0,555;0,167
7200000;4667,641;0,513;0,322
7250000;4689,787;0,530;0,202
7300000;4711,877;0,520;0,155
7350000;4734,090;0,483;0,228
7400000;4756,189;0,542;0,200
7450000;4778,372;0,475;0,235
7500000;4800,649;0,511;0,293
7550000;4822,736;0,508;0,206
7600000;4844,996;0,537;0,269
7650000;4867,128;0,558;0,167
7700000;4889,314;0,610;0,133
7750000;4911,647;0,471;0,265
7800000;4934,091;0,588;0,170
7850000;4956,377;0,548;0,159
7900000;4978,779;0,539;0,193
7950000;5001,232;0,567;0,202
8000000;5023,868;0,523;0,326
8050000;5046,173;0,598;0,163
8100000;5068,035;0,595;0,147
8150000;5091,892;0,558;0,193
8200000;5113,652;0,580;0,208
8250000;5135,816;0,483;0,253
8300000;5157,859;0,577;0,178
8350000;5180,448;0,511;0,274
8400000;5203,291;0,542;0,298
8450000;5226,061;0,555;0,241
8500000;5248,375;0,539;0,220
8550000;5270,474;0,556;0,170
8600000;5293,554;0,572;0,275
8650000;5316,506;0,524;0,192
8700000;5339,013;0,524;0,331
8750000;5361,857;0,529;0,230
8800000;5384,282;0,547;0,202
8850000;5406,755;0,545;0,160
8900000;5429,281;0,525;0,160
8950000;5451,588;0,573;0,190
9000000;5473,962;0,573;0,167
9050000;5496,363;0,537;0,240
9100000;5518,742;0,536;0,234
9150000;5541,052;0,555;0,176
9200000;5563,330;0,603;0,191
9250000;5585,627;0,536;0,166
9300000;5607,907;0,570;0,238
9350000;5630,199;0,507;0,234
9400000;5652,593;0,509;0,150
