Step;Time(s);MeanReward;StdReward
60000;28,742;-1,114;1,205
120000;54,252;-1,105;1,130
180000;81,628;-1,090;0,947
240000;107,145;-0,927;0,789
300000;133,625;-0,814;0,594
360000;159,228;-0,473;0,367
420000;186,305;-0,420;0,305
480000;211,811;-0,427;0,361
540000;237,354;-0,302;0,338
600000;263,924;-0,339;0,609
660000;289,380;-0,265;0,492
720000;316,466;-0,187;0,331
780000;342,039;-0,197;0,423
840000;369,156;-0,171;0,434
900000;394,440;-0,064;0,333
960000;422,003;-0,116;0,302
1020000;447,296;-0,191;0,514
1080000;472,894;-0,161;0,534
1140000;499,794;-0,081;0,398
1200000;525,079;-0,243;0,794
1260000;552,442;-0,158;0,570
1320000;577,786;-0,084;0,545
1380000;605,137;-0,135;0,427
1440000;630,445;-0,012;0,757
1500000;656,074;-0,156;0,779
1560000;682,684;-0,080;0,698
1620000;708,104;-0,090;0,701
1680000;735,326;-0,181;0,886
1740000;760,787;0,058;0,731
1800000;787,761;-0,225;0,987
1860000;812,448;0,181;0,457
1920000;837,643;-0,015;0,690
1980000;864,267;0,098;0,386
2040000;889,511;-0,153;1,047
2100000;916,011;0,131;0,321
2160000;940,692;0,180;0,468
2220000;966,904;0,262;0,198
2280000;993,146;0,264;0,248
2340000;1017,910;0,186;0,397
2400000;1044,312;0,167;0,305
2460000;1069,179;0,179;0,413
2520000;1095,634;0,188;0,245
2580000;1122,180;0,112;0,757
2640000;1146,810;0,264;0,255
2700000;1173,135;0,213;0,304
2760000;1199,511;0,238;0,263
2820000;1223,966;0,271;0,329
2880000;1250,244;0,193;0,304
2940000;1275,040;0,179;0,435
3000000;1301,472;0,197;0,819
3060000;1327,890;0,287;0,307
3120000;1352,844;0,259;0,294
3180000;1379,546;0,337;0,208
3240000;1405,999;0,112;0,755
3300000;1430,637;0,254;0,311
3360000;1456,810;0,279;0,244
3420000;1483,233;0,272;0,279
3480000;1508,152;0,261;0,274
3540000;1534,419;0,317;0,212
3600000;1560,699;0,231;0,247
3660000;1584,917;0,167;0,614
3720000;1611,092;0,322;0,198
3780000;1635,866;0,309;0,280
3840000;1662,237;0,316;0,244
3900000;1688,828;0,234;0,235
3960000;1713,831;0,203;0,772
4020000;1740,070;0,219;0,295
4080000;1766,162;0,226;0,324
4140000;1790,911;0,272;0,273
4200000;1817,027;0,352;0,325
4260000;1843,339;0,353;0,238
4320000;1868,004;0,314;0,411
4380000;1894,257;0,317;0,239
4440000;1920,823;0,245;0,248
4500000;1945,571;0,243;0,281
4560000;1972,122;0,320;0,234
4620000;1998,648;0,360;0,231
4680000;2022,901;0,318;0,311
4740000;2049,280;0,303;0,202
4800000;2073,853;0,364;0,255
4860000;2100,162;0,328;0,236
4920000;2126,265;0,282;0,423
4980000;2150,832;0,133;0,641
5040000;2177,031;0,359;0,233
5100000;2203,240;0,303;0,199
5160000;2227,776;0,374;0,280
5220000;2254,093;0,270;0,262
5280000;2280,400;0,153;0,784
5340000;2305,112;0,353;0,196
5400000;2331,391;0,276;0,679
5460000;2357,737;0,329;0,223
5520000;2382,144;0,340;0,230
5580000;2408,849;0,261;0,314
5640000;2433,557;0,392;0,191
5700000;2459,896;0,400;0,238
5760000;2486,199;0,255;0,537
5820000;2511,060;0,344;0,260
5880000;2537,268;0,223;0,390
5940000;2567,509;0,296;0,342
6000000;2603,098;0,316;0,261
