Step;Time(s);MeanReward;StdReward
50000;24,828;-0,393;0,538
100000;47,483;-0,161;0,284
150000;70,571;-0,376;0,587
200000;93,083;-0,506;0,436
250000;116,126;-0,409;0,507
300000;138,602;-0,349;0,586
350000;161,702;-0,341;0,649
400000;182,626;-0,023;0,398
450000;205,700;-0,041;0,314
500000;228,373;0,023;0,336
550000;251,336;0,175;0,307
600000;273,954;0,032;0,389
650000;296,836;0,274;0,336
700000;319,630;0,197;0,373
750000;340,216;0,103;1,097
800000;362,566;0,301;0,233
850000;385,143;0,340;0,314
900000;407,403;0,324;0,311
950000;429,693;0,381;0,248
1000000;451,858;0,353;0,367
1050000;474,410;0,332;0,288
1100000;496,505;0,318;0,296
1150000;518,468;0,419;0,278
1200000;540,577;0,361;0,255
1250000;562,743;0,408;0,251
1300000;584,861;0,287;0,380
1350000;606,956;0,393;0,244
1400000;628,949;0,499;0,159
1450000;650,952;0,451;0,278
1500000;672,980;0,426;0,353
1550000;694,992;0,388;0,448
1600000;717,237;0,476;0,228
1650000;741,404;0,309;0,390
1700000;763,304;0,404;0,422
1750000;785,419;0,433;0,250
1800000;807,578;0,297;0,352
1850000;829,786;0,243;0,504
1900000;851,970;0,289;0,550
1950000;874,150;0,297;1,132
2000000;896,200;0,444;0,219
2050000;918,437;0,453;0,216
2100000;940,364;0,327;0,376
2150000;962,560;0,372;0,279
2200000;984,736;0,462;0,255
2250000;1007,227;0,359;0,399
2300000;1029,484;0,305;0,564
2350000;1051,467;0,308;0,638
2400000;1073,592;0,477;0,239
2450000;1095,734;0,408;0,382
2500000;1117,784;0,400;0,381
2550000;1140,358;0,378;0,296
2600000;1162,798;0,501;0,143
2650000;1184,956;0,423;0,258
2700000;1206,956;0,445;0,235
2750000;1228,981;0,400;0,208
2800000;1251,186;0,437;0,232
2850000;1273,021;0,489;0,273
2900000;1295,169;0,493;0,203
2950000;1318,920;0,390;0,473
3000000;1341,050;0,321;0,354
3050000;1363,060;0,403;0,248
3100000;1385,105;0,443;0,191
3150000;1407,247;0,475;0,266
3200000;1429,300;0,426;0,309
3250000;1451,164;0,404;0,323
3300000;1473,027;0,529;0,286
3350000;1495,231;0,479;0,242
3400000;1517,126;0,461;0,294
3450000;1539,502;0,488;0,196
3500000;1561,782;0,478;0,258
3550000;1584,112;0,577;0,211
3600000;1606,075;0,554;0,221
3650000;1628,264;0,440;0,218
3700000;1650,386;0,467;0,275
3750000;1672,346;0,508;0,192
3800000;1702,104;0,486;0,271
3850000;1734,401;0,455;0,292
3900000;1766,907;0,527;0,216
3950000;1799,389;0,451;0,231
4000000;1831,676;0,394;0,434
4050000;1864,061;0,478;0,187
4100000;1896,017;0,445;0,300
4150000;1928,146;0,514;0,218
4200000;1963,986;0,564;0,139
4250000;1996,077;0,514;0,220
4300000;2027,895;0,364;0,333
4350000;2059,791;0,507;0,222
4400000;2092,013;0,436;0,360
4450000;2124,316;0,372;0,346
4500000;2156,361;0,382;0,528
4550000;2188,523;0,564;0,226
4600000;2220,560;0,453;0,217
4650000;2252,742;0,466;0,230
4700000;2285,077;0,528;0,173
4750000;2317,926;0,454;0,280
4800000;2350,418;0,454;0,235
4850000;2382,535;0,483;0,301
4900000;2414,748;0,485;0,313
4950000;2447,220;0,504;0,274
5000000;2479,930;0,488;0,341
5050000;2512,354;0,474;0,276
5100000;2544,306;0,540;0,146
5150000;2576,095;0,544;0,173
5200000;2608,177;0,506;0,212
5250000;2640,540;0,522;0,216
5300000;2672,525;0,379;0,267
5350000;2704,558;0,366;0,545
5400000;2736,512;0,500;0,271
5450000;2768,515;0,528;0,345
5500000;2804,158;0,447;0,250
5550000;2836,577;0,573;0,193
5600000;2869,007;0,395;0,356
5650000;2901,718;0,500;0,226
5700000;2934,758;0,479;0,277
5750000;2966,887;0,553;0,196
5800000;2999,428;0,596;0,172
5850000;3031,687;0,604;0,158
5900000;3053,611;0,578;0,210
5950000;3075,486;0,602;0,227
6000000;3097,289;0,566;0,199
6050000;3119,005;0,472;0,245
6100000;3140,836;0,549;0,222
6150000;3162,793;0,572;0,197
6200000;3185,403;0,542;0,238
6250000;3207,328;0,503;0,208
6300000;3229,141;0,528;0,310
6350000;3251,027;0,548;0,197
6400000;3272,583;0,509;0,162
6450000;3294,345;0,590;0,173
6500000;3316,414;0,530;0,383
6550000;3338,941;0,518;0,256
6600000;3360,829;0,527;0,238
6650000;3382,918;0,504;0,228
6700000;3405,051;0,539;0,213
6750000;3427,428;0,571;0,167
6800000;3462,502;0,474;0,207
6850000;3494,503;0,500;0,253
6900000;3526,530;0,567;0,178
6950000;3558,674;0,593;0,158
7000000;3591,130;0,463;0,605
7050000;3623,283;0,503;0,169
7100000;3655,793;0,556;0,165
7150000;3688,118;0,568;0,213
7200000;3720,616;0,580;0,160
7250000;3753,087;0,507;0,214
7300000;3785,261;0,530;0,229
7350000;3817,463;0,522;0,258
7400000;3849,606;0,497;0,368
7450000;3881,650;0,546;0,205
7500000;3913,632;0,544;0,178
7550000;3945,491;0,566;0,190
7600000;3977,592;0,577;0,181
7650000;4009,518;0,510;0,221
7700000;4041,698;0,528;0,225
7750000;4074,108;0,465;0,272
7800000;4105,861;0,528;0,186
7850000;4137,441;0,511;0,226
7900000;4169,053;0,599;0,197
7950000;4200,848;0,539;0,157
8000000;4232,497;0,527;0,235
8050000;4264,410;0,509;0,421
8100000;4299,560;0,519;0,210
8150000;4322,992;0,506;0,270
8200000;4344,399;0,497;0,309
8250000;4365,781;0,540;0,203
8300000;4387,647;0,485;0,325
8350000;4409,314;0,573;0,179
8400000;4430,911;0,553;0,222
8450000;4452,547;0,482;0,265
8500000;4474,062;0,512;0,242
8550000;4496,126;0,515;0,296
