Step;Time(s);MeanReward;StdReward
50000;22,813;-2,459;1,379
100000;41,875;-2,144;1,195
150000;59,150;-2,469;1,076
200000;76,636;-2,278;1,548
250000;94,055;-2,135;1,615
300000;111,456;-1,689;1,647
350000;128,826;-1,202;1,395
400000;146,185;-1,219;1,385
450000;163,654;-0,975;1,214
500000;180,961;-1,023;1,252
550000;198,370;-0,844;1,211
600000;215,897;-0,702;1,137
650000;233,516;-0,599;1,133
700000;251,208;-0,521;1,072
750000;269,714;-0,486;1,066
800000;287,412;-0,381;1,081
850000;305,080;-0,312;0,913
900000;322,620;-0,281;0,954
950000;340,320;-0,154;0,825
1000000;357,960;-0,105;0,791
1050000;375,553;-0,115;0,893
1100000;393,153;-0,083;0,886
1150000;410,729;-0,043;0,753
1200000;428,375;0,115;0,533
1250000;445,953;0,204;0,496
1300000;463,369;0,238;0,491
1350000;480,957;0,230;0,441
1400000;500,348;0,283;0,409
1450000;517,969;0,335;0,409
1500000;535,692;0,275;0,408
1550000;553,518;0,363;0,324
1600000;571,029;0,310;0,360
1650000;588,739;0,341;0,420
1700000;606,592;0,399;0,375
1750000;624,344;0,389;0,379
1800000;641,870;0,386;0,372
1850000;659,677;0,391;0,334
1900000;677,329;0,360;0,435
1950000;694,970;0,396;0,393
2000000;712,598;0,415;0,380
2050000;730,334;0,393;0,335
2100000;748,152;0,409;0,356
2150000;765,709;0,436;0,343
2200000;783,567;0,453;0,338
2250000;801,241;0,419;0,327
2300000;818,992;0,430;0,320
2350000;836,652;0,399;0,359
2400000;854,518;0,446;0,335
2450000;872,138;0,425;0,370
2500000;889,896;0,452;0,295
2550000;907,548;0,430;0,314
2600000;927,168;0,435;0,333
2650000;944,538;0,452;0,289
2700000;962,193;0,453;0,302
2750000;979,775;0,428;0,310
2800000;997,346;0,472;0,332
2850000;1014,931;0,486;0,305
2900000;1032,547;0,478;0,327
2950000;1050,178;0,424;0,353
3000000;1067,948;0,485;0,302
3050000;1085,628;0,417;0,332
3100000;1103,226;0,452;0,314
3150000;1120,750;0,452;0,306
3200000;1138,350;0,452;0,380
3250000;1155,904;0,489;0,296
3300000;1173,744;0,482;0,341
3350000;1191,134;0,446;0,322
3400000;1208,914;0,473;0,328
3450000;1226,637;0,481;0,306
3500000;1244,404;0,463;0,310
3550000;1262,002;0,469;0,322
3600000;1279,706;0,492;0,309
3650000;1297,392;0,467;0,332
3700000;1315,112;0,441;0,359
3750000;1332,677;0,479;0,312
3800000;1350,412;0,455;0,312
3850000;1369,694;0,480;0,305
3900000;1387,333;0,462;0,298
3950000;1404,930;0,465;0,327
4000000;1422,780;0,456;0,306
4050000;1440,384;0,512;0,326
4100000;1458,105;0,451;0,320
4150000;1475,851;0,487;0,312
4200000;1493,484;0,471;0,340
4250000;1511,283;0,474;0,339
4300000;1529,056;0,466;0,386
4350000;1546,579;0,452;0,335
4400000;1564,348;0,479;0,370
4450000;1581,995;0,483;0,329
4500000;1599,845;0,449;0,326
4550000;1617,616;0,472;0,307
4600000;1635,342;0,471;0,349
4650000;1653,084;0,474;0,335
4700000;1670,900;0,501;0,302
4750000;1688,677;0,502;0,354
4800000;1706,552;0,492;0,327
4850000;1724,301;0,448;0,360
4900000;1742,289;0,473;0,342
4950000;1760,148;0,514;0,318
5000000;1779,829;0,456;0,317
5050000;1797,506;0,482;0,285
5100000;1815,204;0,469;0,321
5150000;1833,044;0,496;0,294
5200000;1850,844;0,470;0,327
5250000;1868,502;0,514;0,282
5300000;1886,287;0,463;0,327
5350000;1904,164;0,477;0,318
5400000;1922,051;0,470;0,336
5450000;1939,924;0,485;0,309
5500000;1957,821;0,496;0,338
5550000;1975,751;0,471;0,611
5600000;1993,649;0,497;0,304
5650000;2011,532;0,493;0,325
5700000;2029,288;0,495;0,316
5750000;2047,181;0,498;0,309
5800000;2064,914;0,492;0,313
5850000;2082,744;0,515;0,300
5900000;2100,561;0,485;0,294
5950000;2118,455;0,525;0,343
6000000;2136,335;0,460;0,311
6050000;2154,270;0,494;0,315
6100000;2172,075;0,490;0,346
6150000;2189,915;0,474;0,303
6200000;2209,424;0,483;0,323
6250000;2227,192;0,474;0,328
6300000;2245,030;0,488;0,317
6350000;2262,843;0,471;0,320
6400000;2280,486;0,447;0,334
6450000;2298,181;0,474;0,346
6500000;2315,862;0,462;0,329
6550000;2333,605;0,470;0,322
6600000;2351,521;0,457;0,334
6650000;2369,560;0,477;0,321
6700000;2387,305;0,487;0,308
6750000;2405,093;0,481;0,315
6800000;2422,853;0,466;0,289
6850000;2440,667;0,481;0,315
6900000;2458,506;0,515;0,312
6950000;2476,255;0,475;0,309
7000000;2494,016;0,478;0,335
7050000;2511,777;0,493;0,296
7100000;2529,656;0,464;0,293
7150000;2547,359;0,477;0,303
7200000;2565,294;0,510;0,304
7250000;2583,061;0,506;0,317
7300000;2600,950;0,471;0,308
7350000;2618,807;0,506;0,326
7400000;2638,615;0,523;0,308
7450000;2656,367;0,467;0,314
7500000;2673,824;0,473;0,326
7550000;2691,487;0,504;0,313
7600000;2709,332;0,480;0,322
7650000;2727,071;0,468;0,340
7700000;2744,946;0,499;0,299
7750000;2762,745;0,501;0,330
7800000;2780,396;0,528;0,297
7850000;2798,193;0,499;0,311
7900000;2816,101;0,500;0,309
7950000;2833,807;0,494;0,297
8000000;2851,650;0,462;0,321
8050000;2869,408;0,459;0,304
8100000;2887,116;0,489;0,306
8150000;2904,915;0,506;0,310
8200000;2923,342;0,494;0,339
8250000;2941,682;0,496;0,299
8300000;2959,921;0,467;0,305
8350000;2978,925;0,495;0,302
8400000;2997,334;0,491;0,337
8450000;3016,069;0,505;0,291
8500000;3034,603;0,522;0,315
8550000;3052,953;0,522;0,297
8600000;3071,570;0,475;0,342
8650000;3091,857;0,471;0,335
8700000;3110,194;0,497;0,331
8750000;3128,922;0,457;0,326
8800000;3147,361;0,484;0,310
8850000;3165,789;0,530;0,310
8900000;3184,551;0,442;0,333
8950000;3203,079;0,527;0,288
9000000;3221,481;0,499;0,310
9050000;3239,478;0,494;0,290
9100000;3257,598;0,506;0,299
9150000;3276,129;0,499;0,314
9200000;3294,527;0,505;0,295
9250000;3313,220;0,492;0,307
9300000;3331,650;0,492;0,316
9350000;3350,160;0,467;0,298
9400000;3368,785;0,491;0,323
9450000;3387,129;0,507;0,309
9500000;3405,583;0,501;0,318
9550000;3423,905;0,500;0,321
9600000;3442,370;0,515;0,300
9650000;3460,809;0,491;0,289
9700000;3479,272;0,509;0,299
9750000;3497,883;0,507;0,335
9800000;3518,183;0,488;0,318
9850000;3536,311;0,533;0,317
9900000;3554,733;0,475;0,344
9950000;3573,189;0,495;0,375
10000000;3591,694;0,489;0,317
