Step;Time(s);MeanReward;StdReward
60000;31,277;-0,342;0,581
120000;59,122;-0,902;0,991
180000;88,324;-1,297;1,058
240000;115,986;-0,868;1,023
300000;144,702;-0,945;1,002
360000;172,520;-0,805;0,824
420000;201,738;-0,435;0,649
480000;229,414;-0,116;0,366
540000;257,216;0,062;0,321
600000;285,875;0,151;0,345
660000;313,519;0,113;0,566
720000;342,887;0,139;0,482
780000;370,440;0,250;0,336
840000;399,532;0,263;0,348
900000;426,882;0,344;0,268
960000;454,423;0,192;0,420
1020000;483,481;-0,001;0,731
1080000;511,042;0,178;0,605
1140000;539,947;0,245;0,513
1200000;566,734;0,276;0,471
1260000;595,075;0,278;0,504
1320000;622,128;0,117;0,560
1380000;650,657;0,296;0,400
1440000;679,090;0,197;0,503
1500000;706,071;0,336;0,316
1560000;734,341;0,170;0,444
1620000;763,053;0,227;0,458
1680000;789,675;0,176;0,424
1740000;818,124;0,333;0,313
1800000;845,120;0,263;0,473
1860000;873,391;0,313;0,402
1920000;901,883;0,266;0,352
1980000;928,791;0,226;0,411
2040000;957,039;0,336;0,250
2100000;984,962;0,294;0,420
2160000;1011,171;0,434;0,182
2220000;1038,716;0,331;0,375
2280000;1066,423;0,341;0,268
2340000;1092,435;0,337;0,233
2400000;1119,917;0,346;0,338
2460000;1146,207;0,315;0,376
2520000;1173,770;0,379;0,307
2580000;1201,355;0,266;0,402
2640000;1227,589;0,364;0,322
2700000;1255,267;0,369;0,202
2760000;1282,857;0,361;0,359
2820000;1309,206;0,365;0,308
2880000;1336,861;0,381;0,279
2940000;1364,454;0,387;0,231
3000000;1390,689;0,463;0,257
3060000;1418,322;0,431;0,302
3120000;1445,954;0,360;0,393
3180000;1472,281;0,389;0,264
3240000;1499,982;0,452;0,267
3300000;1527,813;0,485;0,237
3360000;1553,903;0,391;0,353
3420000;1581,558;0,430;0,264
3480000;1607,896;0,291;0,519
3540000;1635,495;0,360;0,218
3600000;1663,242;0,409;0,238
3660000;1689,591;0,411;0,255
3720000;1717,287;0,462;0,218
3780000;1744,989;0,433;0,264
3840000;1771,204;0,371;0,656
3900000;1798,957;0,472;0,247
3960000;1826,576;0,389;0,342
4020000;1852,862;0,457;0,188
4080000;1880,522;0,357;0,321
4140000;1908,136;0,425;0,320
4200000;1934,526;0,388;0,256
4260000;1962,320;0,342;0,375
4320000;1990,292;0,453;0,181
4380000;2016,267;0,492;0,203
4440000;2043,963;0,416;0,325
4500000;2070,365;0,305;0,347
4560000;2097,961;0,394;0,227
4620000;2125,656;0,358;0,312
4680000;2151,973;0,455;0,226
4740000;2179,648;0,408;0,201
4800000;2207,264;0,399;0,261
4860000;2233,561;0,518;0,184
4920000;2261,172;0,481;0,161
4980000;2288,892;0,273;0,328
5040000;2315,217;0,443;0,240
5100000;2342,860;0,335;0,369
5160000;2370,677;0,425;0,354
5220000;2396,777;0,381;0,350
5280000;2424,577;0,342;0,286
5340000;2451,036;0,376;0,241
5400000;2478,604;0,457;0,183
5460000;2506,381;0,437;0,201
5520000;2532,634;0,440;0,201
5580000;2560,191;0,428;0,233
5640000;2587,931;0,406;0,255
5700000;2614,230;0,364;0,273
5760000;2641,752;0,486;0,220
5820000;2669,355;0,373;0,270
5880000;2695,437;0,449;0,192
5940000;2723,033;0,420;0,227
6000000;2750,770;0,432;0,249
