Step;Time(s);MeanReward;StdReward
360000;100,425;-0,949;1,112
420000;116,913;-0,797;0,988
660000;178,264;-0,106;0,375
720000;192,547;-0,147;0,469
780000;206,691;-0,231;0,677
840000;222,837;0,056;0,393
1020000;267,707;0,085;0,388
1080000;283,997;0,109;0,323
1140000;298,576;0,080;0,415
1200000;314,754;0,258;0,271
1260000;329,117;0,286;0,191
1320000;345,286;0,346;0,291
1380000;359,119;0,376;0,207
1440000;375,817;0,369;0,178
1500000;390,172;0,332;0,293
1560000;406,350;0,383;0,187
1620000;420,563;0,390;0,336
1680000;437,648;0,324;0,354
1740000;452,013;0,336;0,318
1800000;468,362;0,376;0,246
1860000;482,508;0,371;0,299
1920000;498,492;0,417;0,341
1980000;515,048;0,344;0,383
2040000;528,789;0,313;0,272
2100000;545,245;0,390;0,245
2160000;559,401;0,401;0,255
2220000;575,874;0,483;0,211
2280000;589,722;0,461;0,197
2340000;605,951;0,480;0,185
2400000;620,190;0,409;0,205
2460000;636,384;0,456;0,268
2520000;650,618;0,419;0,282
2580000;666,955;0,453;0,197
2640000;680,775;0,453;0,194
2700000;697,003;0,711;0,173
2760000;713,273;0,430;0,238
2820000;727,440;0,463;0,253
2880000;743,765;0,461;0,213
2940000;757,637;0,462;0,282
3000000;773,855;0,442;0,229
3060000;787,821;0,408;0,408
3120000;803,792;0,563;0,266
3180000;819,927;0,386;0,424
3240000;833,956;0,405;0,385
3300000;849,996;0,417;0,201
3360000;864,070;0,492;0,218
3420000;880,006;0,488;0,165
3480000;896,332;0,431;0,204
3540000;910,220;0,498;0,189
3600000;926,146;0,440;0,198
3660000;939,895;0,460;0,236
3720000;955,816;0,506;0,219
3780000;971,896;0,460;0,299
3840000;985,845;0,476;0,179
3900000;1001,725;0,486;0,194
3960000;1015,738;0,482;0,186
4020000;1031,690;0,544;0,222
4080000;1047,685;0,445;0,256
4140000;1061,591;0,504;0,250
4200000;1077,506;0,477;0,239
4260000;1091,313;0,555;0,149
4320000;1107,369;0,405;0,291
4380000;1123,526;0,517;0,197
4440000;1137,339;0,461;0,277
4500000;1153,361;0,549;0,222
4560000;1169,402;0,458;0,211
4620000;1183,210;0,465;0,290
4680000;1199,164;0,467;0,206
4740000;1212,998;0,465;0,195
4800000;1229,134;0,561;0,174
4860000;1245,065;0,511;0,167
4920000;1258,724;0,474;0,216
4980000;1274,802;0,555;0,151
5040000;1290,859;0,503;0,178
5100000;1304,726;0,504;0,372
5160000;1320,606;0,478;0,193
5220000;1334,485;0,538;0,205
5280000;1350,384;0,528;0,183
5340000;1366,338;0,437;0,367
5400000;1380,211;0,416;0,271
5460000;1396,298;0,442;0,230
5520000;1412,248;0,558;0,145
5580000;1426,274;0,505;0,180
5640000;1442,181;0,487;0,197
5700000;1456,233;0,511;0,172
5760000;1472,431;0,545;0,188
5820000;1488,577;0,440;0,293
5880000;1502,526;0,481;0,305
5940000;1518,747;0,475;0,160
6000000;1534,848;0,539;0,138
