Step;Time(s);MeanReward;StdReward
60000;40,653;-0,390;0,661
120000;79,142;-0,593;0,834
180000;121,024;-0,980;1,035
240000;159,307;-1,011;0,914
300000;200,920;-0,727;0,793
360000;239,785;-0,545;0,676
420000;281,982;-0,330;0,466
480000;320,694;-0,326;0,526
540000;359,322;-0,135;0,361
600000;400,278;-0,148;0,511
660000;438,229;-0,012;0,468
720000;480,113;0,069;0,474
780000;518,940;0,072;0,414
840000;560,987;0,107;0,468
900000;599,101;0,164;0,340
960000;641,192;0,124;0,479
1020000;679,030;0,236;0,319
1080000;717,001;0,089;0,369
1140000;758,451;0,225;0,356
1200000;796,103;0,229;0,362
1260000;837,499;0,307;0,239
1320000;875,418;0,328;0,309
1380000;916,464;0,279;0,290
1440000;957,850;0,288;0,260
1500000;992,702;0,260;0,334
1560000;1025,072;0,288;0,256
1620000;1061,885;0,366;0,304
1680000;1101,886;0,280;0,270
1740000;1142,087;0,284;0,403
1800000;1178,609;0,198;0,378
1860000;1218,499;0,217;0,511
1920000;1259,086;0,380;0,267
1980000;1296,921;0,283;0,311
2040000;1337,700;0,387;0,265
2100000;1378,230;0,370;0,306
2160000;1414,905;0,307;0,540
2220000;1454,943;0,320;0,298
2280000;1491,746;0,355;0,289
2340000;1531,836;0,350;0,258
2400000;1572,322;0,318;0,711
2460000;1609,706;0,235;0,374
2520000;1650,091;0,345;0,361
2580000;1691,631;0,367;0,357
2640000;1729,566;0,357;0,316
2700000;1770,942;0,459;0,279
2760000;1811,847;0,468;0,265
2820000;1849,308;0,392;0,298
2880000;1890,129;0,295;0,281
2940000;1930,715;0,378;0,248
3000000;1968,967;0,385;0,282
3060000;2010,215;0,400;0,315
3120000;2051,416;0,364;0,227
3180000;2089,074;0,491;0,223
3240000;2130,013;0,391;0,246
3300000;2171,676;0,433;0,324
3360000;2208,800;0,374;0,332
3420000;2249,650;0,459;0,181
3480000;2287,258;0,440;0,257
3540000;2327,972;0,307;0,448
3600000;2362,694;0,396;0,254
3660000;2388,577;0,431;0,289
3720000;2416,023;0,475;0,367
3780000;2443,619;0,447;0,205
3840000;2469,417;0,280;0,566
3900000;2496,971;0,488;0,255
3960000;2524,567;0,429;0,295
4020000;2550,209;0,325;0,386
4080000;2577,841;0,346;0,291
4140000;2605,745;0,440;0,257
4200000;2631,436;0,480;0,275
4260000;2658,886;0,502;0,183
4320000;2684,651;0,417;0,295
4380000;2712,213;0,450;0,161
4440000;2739,935;0,407;0,321
4500000;2765,477;0,354;0,361
4560000;2793,062;0,442;0,220
4620000;2820,611;0,387;0,309
4680000;2846,422;0,441;0,268
4740000;2873,801;0,300;0,751
4800000;2901,185;0,402;0,349
4860000;2926,937;0,502;0,261
4920000;2954,598;0,371;0,250
4980000;2982,080;0,369;0,260
5040000;3008,038;0,456;0,293
5100000;3035,526;0,379;0,241
5160000;3063,355;0,418;0,243
5220000;3089,646;0,370;0,236
5280000;3117,427;0,397;0,275
5340000;3143,271;0,465;0,248
5400000;3170,891;0,473;0,238
5460000;3202,477;0,450;0,193
5520000;3239,850;0,466;0,172
5580000;3280,687;0,413;0,294
5640000;3321,437;0,446;0,262
5700000;3359,061;0,459;0,215
5760000;3399,500;0,467;0,290
5820000;3440,442;0,502;0,227
5880000;3477,910;0,422;0,228
5940000;3518,878;0,466;0,182
6000000;3559,396;0,351;0,412
