Step;Time(s);MeanReward;StdReward
60000;34,056;-0,456;0,544
120000;60,196;-0,409;0,748
180000;88,042;-0,566;0,620
240000;114,049;-0,227;0,366
300000;141,445;-0,233;0,646
360000;167,672;-0,338;0,529
420000;195,473;0,017;0,376
480000;221,522;0,140;0,275
540000;247,585;0,184;0,381
600000;275,476;0,200;0,556
660000;301,189;0,220;0,452
720000;328,578;0,192;0,357
780000;353,952;0,346;0,184
840000;380,958;0,413;0,266
900000;406,048;0,362;0,238
960000;432,708;0,260;0,526
1020000;460,439;0,354;0,612
1080000;485,907;0,229;0,643
1140000;513,318;0,315;0,344
1200000;539,093;0,502;0,176
1260000;566,630;0,468;0,230
1320000;593,903;0,504;0,239
1380000;619,605;0,401;0,304
1440000;646,894;0,499;0,220
1500000;674,353;0,460;0,258
1560000;700,018;0,461;0,255
1620000;727,331;0,488;0,204
1680000;754,744;0,520;0,251
1740000;780,358;0,478;0,274
1800000;807,822;0,392;0,319
1860000;835,387;0,493;0,246
1920000;860,824;0,481;0,164
1980000;888,095;0,438;0,282
2040000;913,726;0,516;0,186
2100000;940,941;0,480;0,197
2160000;968,162;0,407;0,291
2220000;993,885;0,410;0,258
2280000;1020,949;0,465;0,238
2340000;1048,407;0,462;0,228
2400000;1073,940;0,426;0,239
2460000;1101,240;0,362;0,354
2520000;1128,541;0,380;0,279
2580000;1154,082;0,516;0,227
2640000;1181,656;0,425;0,535
2700000;1209,721;0,468;0,185
2760000;1235,601;0,483;0,291
2820000;1263,322;0,472;0,223
2880000;1290,332;0,428;0,425
2940000;1319,236;0,474;0,231
3000000;1348,117;0,545;0,197
3060000;1375,135;0,572;0,145
3120000;1403,794;0,557;0,267
3180000;1432,667;0,456;0,217
3240000;1458,925;0,551;0,262
3300000;1486,340;0,531;0,238
3360000;1513,739;0,575;0,166
3420000;1539,291;0,498;0,164
3480000;1566,614;0,506;0,196
3540000;1594,128;0,485;0,217
3600000;1619,653;0,489;0,265
3660000;1646,994;0,548;0,194
3720000;1674,710;0,512;0,247
3780000;1700,158;0,527;0,216
3840000;1727,449;0,493;0,221
3900000;1753,151;0,402;0,454
3960000;1780,475;0,507;0,237
4020000;1807,908;0,554;0,191
4080000;1833,517;0,575;0,235
4140000;1861,017;0,481;0,260
4200000;1888,336;0,412;0,498
4260000;1913,984;0,541;0,209
4320000;1941,221;0,515;0,241
4380000;1968,433;0,462;0,224
4440000;1994,000;0,486;0,293
4500000;2021,478;0,486;0,210
4560000;2048,698;0,521;0,264
4620000;2073,930;0,491;0,324
4680000;2100,733;0,516;0,258
4740000;2128,233;0,482;0,258
4800000;2153,055;0,563;0,192
4860000;2180,034;0,495;0,277
4920000;2205,360;0,551;0,239
4980000;2232,307;0,512;0,168
5040000;2259,313;0,541;0,185
5100000;2284,719;0,505;0,264
5160000;2311,554;0,513;0,314
5220000;2338,587;0,572;0,210
5280000;2363,768;0,549;0,216
5340000;2390,764;0,473;0,307
5400000;2417,892;0,488;0,222
5460000;2443,149;0,560;0,155
5520000;2470,089;0,558;0,181
5580000;2497,323;0,519;0,164
5640000;2522,384;0,572;0,193
5700000;2549,447;0,539;0,186
5760000;2574,907;0,518;0,257
5820000;2601,920;0,557;0,237
5880000;2628,893;0,547;0,173
5940000;2654,173;0,569;0,178
6000000;2681,282;0,510;0,275
